date,variable,value
19010913,TMIN,133
19010914,TMAX,244
19010914,TMIN,150
19010915,TMAX,261
19010915,TMIN,150
19010916,TMAX,206
19010916,TMIN,111
19010917,TMAX,139
19010917,TMIN,72
19010918,TMAX,139
19010918,TMIN,17
19010919,TMAX,144
19010919,TMIN,44
19010920,TMAX,133
19010920,TMIN,83
19010921,TMAX,228
19010921,TMIN,56
19010922,TMAX,261
19010922,TMIN,100
19010923,TMAX,294
19010923,TMIN,133
19010924,TMAX,311
19010924,TMIN,172
19010925,TMAX,294
19010925,TMIN,156
19010926,TMAX,306
19010926,TMIN,167
19010927,TMAX,289
19010927,TMIN,144
19010928,TMAX,278
19010928,TMIN,128
19010929,TMAX,183
19010929,TMIN,150
19010930,TMAX,267
19010930,TMIN,83
19011001,TMAX,311
19011001,TMIN,150
19011002,TMAX,172
19011002,TMIN,100
19011003,TMAX,150
19011003,TMIN,33
19011004,TMAX,128
19011004,TMIN,17
19011005,TMAX,183
19011005,TMIN,22
19011006,TMAX,222
19011006,TMIN,50
19011007,TMAX,250
19011007,TMIN,100
19011008,TMAX,233
19011008,TMIN,156
19011009,TMAX,183
19011009,TMIN,144
19011010,TMAX,261
19011010,TMIN,67
19011011,TMAX,256
19011011,TMIN,139
19011012,TMAX,133
19011012,TMIN,100
19011013,TMAX,122
19011013,TMIN,61
19011014,TMAX,122
19011014,TMIN,44
19011015,TMAX,206
19011015,TMIN,39
19011016,TMAX,128
19011016,TMIN,67
19011017,TMAX,122
19011017,TMIN,28
19011018,TMAX,172
19011018,TMIN,33
19011019,TMAX,239
19011019,TMIN,117
19011020,TMAX,206
19011020,TMIN,44
19011021,TMAX,244
19011021,TMIN,94
19011022,TMAX,267
19011022,TMIN,122
19011023,TMAX,272
19011023,TMIN,139
19011024,TMAX,206
19011024,TMIN,111
19011025,TMAX,189
19011025,TMIN,33
19011026,TMAX,233
19011026,TMIN,72
19011027,TMAX,183
19011027,TMIN,83
19011028,TMAX,222
19011028,TMIN,28
19011029,TMAX,267
19011029,TMIN,139
19011030,TMAX,244
19011030,TMIN,122
19011031,TMAX,194
19011031,TMIN,139
19011101,TMAX,200
19011101,TMIN,83
19011102,TMAX,183
19011102,TMIN,50
19011103,TMAX,111
19011103,TMIN,6
19011104,TMAX,6
19011104,TMIN,-56
19011105,TMAX,44
19011105,TMIN,-33
19011106,TMAX,167
19011106,TMIN,-11
19011107,TMAX,78
19011107,TMIN,11
19011108,TMAX,139
19011108,TMIN,-22
19011109,TMAX,106
19011109,TMIN,22
19011110,TMAX,144
19011110,TMIN,-22
19011111,TMAX,217
19011111,TMIN,106
19011112,TMAX,106
19011112,TMIN,-33
19011113,TMAX,144
19011113,TMIN,22
19011114,TMAX,72
19011114,TMIN,6
19011115,TMAX,11
19011115,TMIN,-44
19011116,TMAX,11
19011116,TMIN,-78
19011117,TMAX,44
19011117,TMIN,-67
19011118,TMAX,44
19011118,TMIN,-56
19011119,TMAX,61
19011119,TMIN,-39
19011120,TMAX,72
19011120,TMIN,-44
19011121,TMAX,100
19011121,TMIN,-28
19011122,TMAX,39
19011122,TMIN,28
19011123,TMAX,33
19011123,TMIN,11
19011124,TMAX,89
19011124,TMIN,11
19011125,TMAX,56
19011125,TMIN,11
19011126,TMAX,83
19011126,TMIN,-28
19011127,TMAX,50
19011127,TMIN,-22
19011128,TMAX,56
19011128,TMIN,-50
19011129,TMAX,133
19011129,TMIN,22
19011130,TMAX,144
19011130,TMIN,-6
19011201,TMAX,161
19011201,TMIN,67
19011202,TMAX,67
19011202,TMIN,11
19011203,TMAX,22
19011203,TMIN,-11
19011204,TMAX,-11
19011204,TMIN,-39
19011205,TMAX,-11
19011205,TMIN,-61
19011206,TMAX,22
19011206,TMIN,-33
19011207,TMAX,56
